Transcript,Label,Binary Label
 myself limiting,NoStutteredWords,No-Stutter
 And I challenge those beliefs.,NoStutteredWords,No-Stutter
 assertive when we change.,NoStutteredWords,No-Stutter
 the roles which,NoStutteredWords,No-Stutter
 I explained to her.,NoStutteredWords,No-Stutter
 with their relationships.,NoStutteredWords,No-Stutter
 to go on that course.,NoStutteredWords,No-Stutter
 in 2000.,NoStutteredWords,No-Stutter
" Yes, but...",NoStutteredWords,No-Stutter
 people who still stay.,NoStutteredWords,No-Stutter
 They speak.,NoStutteredWords,No-Stutter
 that we deal with known as stuttering.,NoStutteredWords,No-Stutter
 They are fluency.,NoStutteredWords,No-Stutter
 They have. Hey!,NoStutteredWords,No-Stutter
 I had so many negative thoughts.,NoStutteredWords,No-Stutter
 of the things that are,NoStutteredWords,No-Stutter
 Each time I avoided the troubles.,NoStutteredWords,No-Stutter
 many ways that,NoStutteredWords,No-Stutter
 on word substitute,NoStutteredWords,No-Stutter
 and so I was filled,NoStutteredWords,No-Stutter
 It was a huge temptation.,NoStutteredWords,No-Stutter
 beach impediment.,NoStutteredWords,No-Stutter
" And when I was a very young police officer,",NoStutteredWords,No-Stutter
 For a place at the prestigious,NoStutteredWords,No-Stutter
 with me every day.,NoStutteredWords,No-Stutter
 prosthetic devices.,NoStutteredWords,No-Stutter
 that I'm hearing from you now.,NoStutteredWords,No-Stutter
 your approaches that you,SoundRep,Stutter
 half the century.,NoStutteredWords,No-Stutter
 and she'll be back. How much money?,NoStutteredWords,No-Stutter
" Wouldn't you love it? Well, thanks!",NoStutteredWords,No-Stutter
 and after about,NoStutteredWords,No-Stutter
 Let me see after the bout.,NoStutteredWords,No-Stutter
 I vowed that I would never,Prolongation,Stutter
 But it all changed.,NoStutteredWords,No-Stutter
 Explain to you.,NoStutteredWords,No-Stutter
 increased to more than 300.,NoStutteredWords,No-Stutter
" Well, one person.",NoStutteredWords,No-Stutter
 One situation.,NoStutteredWords,No-Stutter
 you're greatest fears.,NoStutteredWords,No-Stutter
" We are starting the association here at Starring Dear Simpson,",SoundRep,Stutter
 take it and the more like,NoStutteredWords,No-Stutter
 one understands that.,NoStutteredWords,No-Stutter
 when you were younger,Interjection,Stutter
 and fights every single day.,NoStutteredWords,No-Stutter
 like every everything all that,WordRep,Stutter
 It was horrible. It was...,NoStutteredWords,No-Stutter
 you start again.,WordRep,Stutter
" Yeah, it was.",WordRep,Stutter
 I was thin and frail and,NoStutteredWords,No-Stutter
 I got a game of waiting.,Block,Stutter
 I'm dying now.,Prolongation,Stutter
18,SoundRep,Stutter
" Give up, I win.",Block,Stutter
 that I like one of those things.,Prolongation,Stutter
" Yeah, actually.",Prolongation,Stutter
 So she is completely fluent.,NoStutteredWords,No-Stutter
" conference, but that we couldn't have.",Block,Stutter
 Fuck. Ford here in.,DifficultToUnderstand,Stutter
 I think she was just trying to dig.,NoStutteredWords,No-Stutter
 get me to come and she probably,WordRep,Stutter
 Yeah.,DifficultToUnderstand,Stutter
,NoStutteredWords,No-Stutter
 and anything that she,NoStutteredWords,No-Stutter
 يتم تبدع Congratulations.,Interjection,Stutter
 without a doubt.,Prolongation,Stutter
" Federia, she actually spoke up to娘 Rams Brothers.",Interjection,Stutter
 party.,Prolongation,Stutter
 but we are actually,Interjection,Stutter
 was actually our five year anniversary.,Prolongation,Stutter
 Tergery. awarded.,NoStutteredWords,No-Stutter
 Darwin's basic weird.,Prolongation,Stutter
 What was her...,Prolongation,Stutter
 Well...,SoundRep,Stutter
